,west_total_kg_per_s
1979,20325271.56936347
1980,20555055.981712833
1981,29544869.981863108
1982,7531229.153739411
1983,28774514.49595819
1984,8591084.864328552
1985,12003942.93150486
1986,22504296.32450492
1987,30433034.0556606
1988,14087119.140315142
1989,5207419.582177676
1990,28645612.426964432
1991,24517221.389333293
1992,18934487.934163276
1993,15190072.545838283
1994,18849557.833428144
1995,40051020.77050751
1996,21346175.37822733
1997,25379714.124194875
1998,21633588.860315967
1999,-6900511.03715965
2000,17123717.103352655
2001,19584211.85871719
2002,10056866.793949146
2003,15072202.959849216
2004,15924371.22341087
2005,36281517.39978028
2006,22680074.797461197
2007,17617477.41662262
2008,5115029.724937467
2009,24316780.33664833
2010,17300169.82979913
2011,12648843.532456001
2012,3970084.816301736
2013,47904641.88477912
2014,5023671.902244265
2015,11958232.469233785
2016,18313699.813021123
2017,28479380.536846418
2018,4411792.749568116
2019,17169259.952652294
2020,23708672.232041724
2021,8245643.893958714
2022,33299848.72381798
2023,30789787.422891304
2024,41618722.97060013
2025,35573458.44720974
