year,jja_sst_anomaly
1979,-0.58521175
1980,0.09199728
1981,-0.33080408
1982,-1.0893483
1983,-0.46394664
1984,-0.38361737
1985,-0.950252
1986,-0.36565584
1987,-0.44581428
1988,0.16038935
1989,-0.34337154
1990,-0.10605742
1991,0.091478616
1992,-0.62167215
1993,-0.42959762
1994,0.098114595
1995,-0.48807406
1996,-0.05538062
1997,-0.5722462
1998,0.63454574
1999,-0.43992963
2000,-0.24068247
2001,0.68411493
2002,-0.36449724
2003,-0.21843243
2004,-0.040884838
2005,-0.18532221
2006,-0.024937408
2007,0.16091591
2008,0.07391631
2009,-0.061350275
2010,-0.180585
2011,-0.3246969
2012,-0.13519485
2013,0.44261634
2014,-0.108077504
2015,-0.061118003
2016,0.9854041
2017,0.73407274
2018,0.17911012
2019,-0.027003417
2020,0.49568522
2021,0.2777765
2022,0.8053896
2023,0.27765965
2024,1.085753
2025,0.8797377
